shipment_id,hs_code_6_digit,goods_shipped,expected_description
085da9da5a2f4d2a17ad1999c0c7ac216800c0f01b3a5652e30c23b5c97deb25,071220,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS WITH 1933 CARTONS TOTAL BULTOS: 1, 933 TOTAL UNITS SHIPPED: 23, 904. 00 LEEWRANGLER-NI0221-078 LUW INVOICE 023741-023789OJF. ON BOARD 01/08/2021.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
a5198741892eb1ceb671a82cc64256ccb6b0e8f13cd578541d5b01d8d8567102,071220,TOASTED GARLIC MINCED TOASTED GARLIC GRANULAT ED TOASTED GARLIC POWDER,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
c19c6d2a06ad93694473851aa141046f033a8aa6618ab978b45d6b1ef81c56e6,071220,"IQF WHITE ONION BLANCHED 3/8"" DICED ORGANIC P O#2023-00-98253 TEMP: -18'C VENT: CLOSED","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
7b53c1027e9bf3dee072bb146ab385a40eb0e9449fd61e56b74e095c92493cd1,071220,GARLIC POWDER TOASTED,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
e64ad50547aca50955473bb30bb1fb96a4cc34e0893e197aa0e2e17102d4cc41,071220,GARLIC POWDER TOASTED PO10966 LOT10966-1783 IALS,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
4d73357331d75571cad33900c5717bc038ced780aaae23dc4e0df4688c3616cd,071220,GARLIC WHITE MINCED,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
a86a76c4f24bc30421f53073a749c6710e94d9cb9a7d1c32bfdee832d7613418,071220,DEHYDRATED BROCCOLI DEHYDRATED WHITE CABBAGE,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
65a380a1c5d292a3ec3886a24e7a626f92d049f7cf9cac3d11303a57829287ec,071220,30# IQF SLICED WHITE 30# IQF SLICED WHITE ONION 8-10MM # P22966 30LBS PER CARTON VENT CLOSED CONTENTS . REEFER SET AT -18. 0 C.,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
f6086b833f92b4e07facebcb60e0e3856cd4aa699037424cf631a3c5f40379a9,071220,ROASTED GARLIC POWDER STD,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
9f996e0728a1fb8b391bb29cae9a2ef9f66646a23e1e99291af210580a05c9a2,071220,DEHYDRATED TOASTED GARLIC GRANULES FDA NO 10.,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
a9ac200d6eafb13b1f5cf5ef78a53a351d6256d964be6b387b20b402ff498315,071220,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE EN PANTS, JACKET 100% COTTON AND WOMAN PANTS WITH 1, 706 BOXES. TOTAL BULTOS: 1, 706 UNIDADES: 20, 976. LEEWRANGLER-NI0920-449 EL PASO INVOICE 022905OJF. ON BOARD 09/2202020.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
e99237dfdde28a5f85ffe2f9141ffd0c80234dff026e54cff01d459edc530e45,071220,CORRUGATED WHITE BOX WITH LID 7PALLETS=188 C ARTONS,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
e7402b64fb99e7f7361f1646145ce8694555ef924b14d27e0abe85e9632891d4,071220,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS 100% COTTON WITH 1, 751 BOXES. TOTAL BOXES SHIPPED: 1, 751 TOTAL UNITS SHIPPED: 22, 970. LEEWRANGLER-NI1020-485 SEW INVOICE 023005OJF. ON BOARD 10/07/2020.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
8e5b2d68ce304f63ec722010f461bb62671996d095a88e280f2e6d7eb4b90ff5,071220,CHEMISE COL BORD-COTES MA: BOX6: 15/11/202 TEE-SHIRT: BOX4: 12/11/2021,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
7e44b5a4b4001a1d45ffd7f561b649af4148d285596589d573384a0eefe1172e,071220,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS, JACKET, VEST, SHORT, AND WOMAN PANTS, SHORT WITH 1, 646 BOXES. TOTAL BULTOS: 1, 646 UNIDADES: 21, 487. 00. LEEWRANGLER-NI0321-176 EPW INVOICE 024085OJF. ON BOARD 03/21/2021.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
ee65b4aea57eef9395765369bd615aefe7d26f77a3e1844edd8f36c90a86c548,071220,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS WITH 1, 760 BOXES TOTAL BULTOS: 1, 760 UNIDADES: 22, 054. 00 LEEWRANGLER-NI0621-340 SEW INVOICE 000333OJF. ON BOARD 06/27/2021.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
053a95b66b88fca0cb90b959fedda6b3bbdc93905f1d44a34ce201a75225db26,071220,TOASTED MINCED GARLIC,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
a7c8073a42fc6361546d56baff4b2c8d007e463ef435daf08a85a8c960c12caf,071220,TOASTED GARLIC FLAKES TOASTED GARLIC MINCED TOASTED GARLIC POWDER TOASTED GARLIC GRAN ULATED,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
bc6c77d446005d26c108b3748fef09d9c1a5aeadf572ef08c24c1a161fa20786,071220,TOASTED GARLIC POWDER STD PO: P2205519-3 THI S SHIPMENT CONTAINS NO WOOD PACKING MATERIALS CY/DOOR,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
4ca2553f2207482b4e44bb853b2a85fdc6c9f6279150579c83b4e20271ec8587,071220,GARLIC POWDER MINCED GARLIC PO#: P5643898 THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS.,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
10ef88a27115bd0ea43f7f3e922b0ca6ab528e3138d684621c6d3101d1997502,071220,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS, SHORT, JACKET AND WOMAN PANTS WITH 1, 657 BOXES TOTAL BULTOS: 1, 657 UNIDADES: 20, 232. 00 LEEWRANGLER-NI0621-330 EPW INVOICE 000307OJF. ON BOARD 06/20/2021.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
5174892c699bf7b606d344a1a84a8b31ff14a75cd54aeb6a63ba8e4a8b202fd5,071220,TOASTED MINCED GARLIC,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
2b1a8e5e5a569d372812cd6e2e35e433dc0c20441ace9c85bf237df8a42050f8,071220,FREEZE DRIED MINCED GARLIC,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
82406e6bba31846f2de42452df18350c1502fde5d5338e6ecae889343910cac6,071220,"PANCAKES TAIWANESE GREEN ONION PANCAKES TAIWANESE GREEN ONION PO#0128563297 @92408, U. S. A REEFER CONTAINER","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
27b8145dbb900c17966904629b2eb4c0e75eb156ef89792b70775ecbdc8a5900,071220,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS WITH 1, 555 BOXES TOTAL BULTOS: 1, 555 UNIDADES: 22, 101. 00 LEEWRANGLER-NI0521-282 SEW INVOICE 000185OJF. ON BOARD 05/30/2021.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
067bbea26c549d57f44cc351c4149a993a7862a2532932d824ca113e37446f23,071220,TOASTED MINCED GARLIC 8-16 MESH 25MTS/1000CAR TONS 1000CARTONS ON 18 PALLETS THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
44cfd5e4c6b0ba3f618b3020091ce7444caf0bf29d30599e50b00fd8a8765b42,071220,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANT-SHORT AND WOMANS PANTS ANS SHORT 100% COTTON 1, 654 BOXES. TOTAL BOXES SHIPPED: 1, 654 TOTAL UNITS SHIPPED: 21, 355. LEEWRANGLER-NI0720-324 EL PASO INVOICE 022552OJF. ON BOARD 08/02/2020.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
74b1a865c0d01267daffdc35ae234f813cf0ffdd30a0d15104b4803561ce1f10,071220,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS 100% COTTON WITH 1540 CARTONS. TOTAL BOXES SHIPPED: 1, 540 TOTAL UNITS SHIPPED: 21, 904. LEEWRANGLER-NI0720-325 LUW LEEWRANGLER-NI0720-326 MOW INVOICE 022558OJF-022566OJF. ON BOARD 07/31/2020.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
7e85f61c1a2bb1a6d67dd4b1ffbdb984005f7f95c70ed6145842a011a2d45ff6,071220,"PICKLED MUSHROOMS WITH CARROT AND ONION, PICKLED MUSHROOMS WITH ONION AND PEPPER.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
e49253cef9769f4c6de0c259e620669abe5ac00a101018e30a893b111cc8988c,071220,"MEN PANTS SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS WITH 1786CARTONS TOTAL BULTOS: 1, 786 TOTAL UNITS SHIPPED: 23, 538. 00 LEEWRANGLER-NI0121-034 LUW INVOICE 023689-023667OJF. ON BOARD 01/22/2021.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
31480e4e46821438b4d0474fbcb166cbeaa18aee190a1fd9d39708b4c3a33583,071220,TOASTED MINCED GARLIC,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
7c9ff9b56b0c6abc286de23f89bce2360ca50b9a5724d8c0700310c53fddd591,071220,TOASTED GARLIC POWDER STD,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
95e5128a16f093071e8349218595cedb9badd694c2dc982607fa5072fec46901,071220,ROASTED MINCED GARLIC ROASTED GARLIC GRANULAT 6406,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
7a712d119bf779cafb8b1724628b47cecff8893daa9a8285dce19480f70d728d,071220,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS, SHORT, JACKETS AND WOMAN PANTS WITH 1, 710 BOXES. TOTAL BULTOS: 1, 710 UNIDADES: 20, 983. 00. LEEWRANGLER-NI0721-393 EPW INVOICE 000457OJF. ON BOARD 07/18/2021.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
e5a8615a42a339af9d36d59fd1a37a7ad13f4b501cc305d91e71b815788e18d0,071220,TOASTED MINCED GARLIC,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
9814bece1e2df5d72f0955aa71c9c6436232cffdb134791c5ac26c1008ba67df,071220,TOASTED GARLIC POWDER STD PO: P2205523-3 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIALS CY/DOOR,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
be210d106b5c3753f72bb5a8fda251a97b0904e2bf355cb6d7938e65a9339653,071220,"MEN PANTS SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS WITH 1, 932CARTONS TOTAL BULTOS: 1, 932 TOTAL UNITS SHIPPED: 21, 897. 00 LEEWRANGLER-NI0121-032 LUW LEEWRANGLER-NI0121-033 MOW INVOICE 023659-023665OJF. ON BOARD 01/11/2021.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
cb3bb84e737cab14e0bacd9d80897146a3e105905611c5f0978ef93c3841e84b,071220,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS, SHORT AND WOMAN PANTS 100% COTTON 1, 641 BOXES. TOTAL BULTOS: 1, 641 UNIDADES: 21, 925. LEEWRANGLER-NI0920-419 EL PASO INVOICE 022825OJF. ON BOARD 09/13/2020.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
ed56b2dde10a52622943b73d3e44e1fcad0679c2bafb0eb89b2dd29dd5410824,071220,TOASTED GARLIC POWDER TOASTED GARLIC GRANULAT ERIALS,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
719861eb4ace98f5c35e9738deeec136c3b82712aa767412374c9f6e2b640b16,071220,TOASTED MINCED GARLIC,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
cbd3e31ccbe0e6d83bf4070f3d7879b57554f23e6f3c7f1f279951a002a8d8ed,071220,BOATS - 380 TARGA WGM 326,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
73acc0ba601fba526d606ee878069557e53b966cb7aba1ff6bbb00ed0f9a47e9,071220,"MEN PANTS SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS 100% COTTON WTH 1, 696 BOXES. TOTAL BULTOS: 1, 696 UNIDADES: 22, 506. LEEWRANGLER-NI0920-409 SEW INVOICE 022803-022797OJF. ON BOARD 09/06/2020.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
9e680bb378e0d28d7f027405cdd0f1e84905a2659c278e2672d3424fe56ca956,071220,TOASTED GARLIC POWDER TOASTED GARLIC GRAIN,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
e2cbad7c71b351316400f39064ab1c98a80073d7f1acb5cbf27ec89d0e040d45,071220,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS, SHORT, JACKET AND WOMAN PANTS WITH 2161 BOXES. TOTAL BULTOS: 2, 161 UNIDADES: 20, 562. 00. LEEWRANGLER-NI1020-545 EPW INVOICE 023150OJF. ON BOARD 11/01/2020.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
85db7e70c75690c500a028487bab3ff0e1f6d133ab1c074f40ec31afd3a03143,071220,TOASTED MINCED GARLIC 8-16 MESH,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
9ded67442c9aea73aed70fda7dc4ed44c4f5b5f87de893f6b2e377cdedd79767,071220,GARLIC POWDER 25KGS,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
3f30ec5eb9bd8de405a4935a1bb4d025f2d19d4c3c909160d9baf52fd8acdad8,071220,FRIED ONION (FRY ONION) - MFG: TRUC NHI JOINT STOCK COMPANY - GIFT  100% NEW  25KG/UNK,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
08aff4c9fa3ec27f17535121f4f8d7a9bf996b86565bd7b144f0889600d8032c,071220,2 X 40 CONTAINERS CONTAINING 2420 CARTONS OF DEHYDRA TED GARLIC POWDER,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
d93f9de995a42589b55607066342929a61865e22dfeb6e6d6f28821fda79c409,071220,PUERRO BLANCO VERDE EN TROZOS X 1KG,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
6adea383dcbc8f5af29b19fe92e0178a3cdb24268c8cf8ee13bfbd042d81a870,071220,PUERRO SECO,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
a0e728a7b82df983491c3784e220fb023f9b28b2414b2d591c2e596561c26cd6,071310,FROZEN VEGETABLE (GREEN PEAS),"Dried peas, shelled, whether or not skinned or split (Pisum sativum) Keywords: dried peas, split peas, green peas, Pisum sativum, मटर, Matar, مٹر, pois cassés, guisantes secos, đậu Hà Lan, горох сушеный"
138d62d09d3de847e6e86b0d0272839c045a1e9bca46874927f170c8eca67a41,071310,PACKAGE(S) MIX METAL FREIGHT PREPAIDEMAIL: TOPMETAL2016K GMAIL.COM,"Dried peas, shelled, whether or not skinned or split (Pisum sativum) Keywords: dried peas, split peas, green peas, Pisum sativum, मटर, Matar, مٹر, pois cassés, guisantes secos, đậu Hà Lan, горох сушеный"
836ec8674aed954d010f1fa3d8502072fac66c805f005648dcd98bfdce0273a0,071310,"CHICK PEA(  BRAND: KHALIFAH )  PRO DATE 01.2025 EXP DATE 01.2027 
IRAN ORIGIN","Dried peas, shelled, whether or not skinned or split (Pisum sativum) Keywords: dried peas, split peas, green peas, Pisum sativum, मटर, Matar, مٹر, pois cassés, guisantes secos, đậu Hà Lan, горох сушеный"
